city,district,front,size,property_age,bedrooms_number,bathrooms_number,livingrooms_number,kitchen_existence,garage_existence,has_driver_room,has_maid_room,is_furnished,has_ac,has_roof,has_pool,has_frontyard,has_basement,is_duplex,has_elevator,has_fireplace,price,rooms_number,house_worker_facilities_existence
 Riyadh,   حي العارض ,North,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,0,0,80000,11,0
 Riyadh,   حي القادسية ,South,370,0,4,5,2,1,1,0,0,0,0,0,0,1,0,0,0,0,60000,11,0
 Riyadh,   حي القادسية ,South,380,0,4,5,1,1,1,1,1,0,0,1,0,1,0,0,0,0,60000,10,1
 Riyadh,   حي المعيزلة ,East,250,0,5,5,3,0,1,1,1,0,0,0,0,1,0,0,0,0,55000,13,1
 Riyadh,   حي العليا ,East,400,11,7,5,2,1,1,1,1,0,0,1,0,1,0,1,0,0,70000,14,1
 Riyadh,   حي الازدهار ,West,250,25,5,4,1,1,0,0,1,0,1,0,0,1,0,1,0,0,45000,10,0
 Riyadh,   حي المهدية ,North,250,0,5,5,3,1,1,0,1,0,0,0,0,0,0,1,0,0,45000,13,0
 Riyadh,   حي الحزم ,South Westي,288,6,5,5,1,1,0,0,1,0,1,0,0,1,0,1,0,0,37000,11,0
 Riyadh,   حي العليا ,South Eastي,250,0,4,4,4,1,1,0,1,0,1,0,0,1,0,0,0,0,150000,12,0
 Riyadh,   حي العارض ,North,290,0,3,5,3,1,1,1,1,1,1,0,0,1,0,1,0,0,150000,11,1
 Riyadh,   حي الصحافة ,West,400,0,5,4,1,1,1,1,1,0,1,1,0,0,0,0,0,0,90000,10,1
 Riyadh,   حي بنبان ,North,840,0,5,5,2,1,1,1,1,0,1,1,1,0,0,0,1,0,150000,12,1
 Riyadh,   حي العارض ,South,440,0,5,5,2,1,1,1,1,0,0,1,0,1,0,0,0,0,90000,12,1
 Riyadh,   حي النسيم الغربي ,West,500,0,5,5,3,1,1,1,1,0,0,1,0,1,0,0,0,1,70000,13,1
 Riyadh,   حي الازدهار ,West,900,20,7,5,2,1,1,1,1,0,1,1,0,1,0,0,0,0,250000,14,1
 Riyadh,   حي النرجس ,North Eastي,377,0,7,5,2,1,1,1,1,0,0,1,0,1,0,0,0,1,76000,14,1
 Riyadh,   حي الملز ,South Eastي,750,28,7,5,3,1,1,1,1,0,0,1,1,1,0,0,0,1,80000,15,1
 Riyadh,   حي العارض ,North,250,0,5,5,1,1,0,0,1,0,0,0,0,1,0,1,0,0,85000,11,0
 Riyadh,   حي الياسمين ,South,339,9,4,5,3,1,1,1,1,0,0,0,0,0,0,0,0,0,120000,12,1
 Riyadh,   حي المونسية ,South,350,0,3,3,2,1,0,1,1,0,0,1,0,1,0,0,0,0,65000,8,1
 Riyadh,   حي السليمانية ,North,200,10,4,5,2,1,0,1,1,0,1,0,0,0,0,1,0,0,90000,11,1
 Riyadh,   حي العارض ,West,220,0,4,5,1,1,1,0,1,0,1,0,0,1,0,1,0,0,85000,10,0
 Riyadh,   حي العقيق ,West,900,20,5,5,2,1,1,1,1,0,0,0,0,0,0,0,0,0,200000,12,1
 Riyadh,   حي المونسية ,North Eastي,290,0,7,5,2,1,1,0,1,1,1,1,0,1,0,0,0,0,90000,14,0
 Riyadh,   حي المرسلات ,East,400,18,5,5,1,1,1,1,1,0,1,1,0,1,0,0,0,0,150000,11,1
 Riyadh,   حي العقيق ,East,375,13,5,5,2,1,1,0,1,0,0,1,0,1,0,0,0,0,80000,12,0
 Riyadh,   حي المونسية ,West,200,5,7,5,2,1,0,0,1,0,1,0,0,0,0,1,0,0,50000,14,0
 Riyadh,   حي الرحمانية ,North,450,12,7,5,2,1,1,1,1,0,1,0,0,1,0,0,0,0,130000,14,1
 Riyadh,   حي الرمال ,East,360,0,4,4,1,1,1,1,1,0,0,0,0,1,0,0,0,1,45000,9,1
 Riyadh,   حي القادسية ,East,250,0,5,5,2,1,1,0,1,0,0,0,0,0,0,0,0,0,55000,12,0
 Riyadh,   حي النرجس ,West,270,0,4,5,2,1,1,1,1,1,1,0,0,1,0,0,0,0,100000,11,1
 Riyadh,   حي الرمال ,North Eastي,350,0,4,4,2,0,0,0,0,0,0,1,0,1,0,0,0,1,40000,10,0
 Riyadh,   حي طويق ,South Eastي,400,0,5,5,2,1,1,0,1,0,0,0,0,1,0,0,0,1,40000,12,0
 Riyadh,   حي الملقا ,North,200,0,4,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,120000,10,0
 Riyadh,   حي الياسمين ,North,300,3,4,3,1,1,1,1,1,0,1,0,0,0,0,1,0,0,110000,8,1
 Riyadh,   حي النرجس ,East,300,0,5,5,3,1,1,0,1,0,1,1,0,1,0,0,0,0,70000,13,0
 Riyadh,   حي المعيزلة ,East,300,5,5,5,2,0,1,0,0,0,0,0,0,1,0,0,0,1,45000,12,0
 Riyadh,   حي النزهة ,North,300,0,7,5,1,1,1,1,1,0,1,0,0,0,0,0,0,0,125000,13,1
 Riyadh,   حي المعيزلة ,East,250,0,5,5,1,1,1,1,1,0,0,0,0,1,0,0,0,0,55000,11,1
 Riyadh,   حي السليمانية ,East,375,10,4,5,3,1,1,1,1,0,1,0,1,1,1,1,0,0,110000,12,1
 Riyadh,   حي الرمال ,North,300,0,4,4,1,1,1,0,1,0,1,1,0,1,0,0,0,1,45000,9,0
 Riyadh,   حي المونسية ,South,312,0,3,4,1,1,1,1,1,0,0,1,0,1,0,0,1,0,65000,8,1
 Riyadh,   حي الرمال ,South,312,0,5,5,5,0,1,1,1,1,0,1,1,1,0,0,0,0,50000,15,1
 Riyadh,   حي الرمال ,East,300,0,3,5,1,1,1,0,1,0,0,1,0,1,0,0,0,1,40000,9,0
 Riyadh,   حي العارض ,North,400,0,5,5,2,1,1,1,1,0,1,0,0,1,0,0,0,0,100000,12,1
 Riyadh,   حي القادسية ,East,250,0,5,5,1,0,1,0,1,0,0,1,0,1,0,1,0,1,55000,11,0
 Riyadh,   حي القادسية ,East,250,0,5,5,2,0,1,1,0,0,0,1,0,0,0,1,0,0,55000,12,0
 Riyadh,   حي الربيع ,South Eastي,327,10,4,5,2,1,1,1,1,0,1,0,0,1,0,0,0,0,100000,11,1
 Riyadh,   حي النرجس ,North,336,0,5,5,2,1,1,1,1,0,1,0,1,1,0,0,1,0,140000,12,1
 Riyadh,   حي العارض ,West,325,7,5,5,4,1,1,0,1,0,1,1,0,1,0,0,0,0,90000,14,0
 Riyadh,   حي المونسية ,South,325,2,4,4,2,0,1,1,1,0,0,1,0,0,0,0,0,0,50000,10,1
 Riyadh,   حي الياسمين ,North,312,9,6,5,2,1,1,0,0,0,1,0,0,1,0,0,0,0,85000,13,0
 Riyadh,   حي ظهرة لبن ,North Eastي,500,8,7,5,1,1,1,1,1,0,1,0,0,1,0,0,0,1,50000,13,1
 Riyadh,   حي الروضة ,South,352,30,7,5,2,1,1,0,1,0,1,1,0,1,0,0,0,1,80000,14,0
 Riyadh,   حي النرجس ,North Westي,450,0,5,4,3,1,1,1,0,0,1,1,0,1,1,0,0,0,110000,12,0
 Riyadh,   حي العقيق ,North,600,4,5,5,3,1,1,1,1,0,1,1,0,1,0,0,0,0,180000,13,1
 Riyadh,   حي العليا ,North,500,27,5,5,2,1,1,0,0,0,0,1,0,1,0,0,0,0,115000,12,0
 Riyadh,   حي عكاظ ,West,360,0,6,3,1,1,1,0,1,0,0,1,0,1,0,0,0,1,40000,10,0
 Riyadh,   حي الورود ,East,400,10,3,4,1,1,1,1,1,0,1,0,1,1,1,0,0,0,80000,8,1
 Riyadh,   حي النرجس ,North Westي,450,0,5,5,3,1,1,1,1,0,1,1,0,1,0,0,0,0,110000,13,1
 Riyadh,   حي المونسية ,West,200,2,7,5,2,1,1,0,1,0,0,0,0,0,0,1,0,0,65000,14,0
 Riyadh,   حي الروضة ,South,352,30,7,5,2,1,1,0,1,0,1,1,0,1,0,0,0,1,80000,14,0
 Riyadh,   حي الملقا ,South,200,3,5,5,1,1,1,0,1,0,1,0,0,0,0,0,0,0,85000,11,0
 Riyadh,   حي العارض ,West,375,0,4,5,1,1,0,1,1,0,1,1,0,0,0,0,0,0,110000,10,1
 Riyadh,   حي الفيحاء ,North Eastي,650,5,7,5,3,1,1,0,1,0,1,1,1,1,1,0,0,1,120000,15,0
 Riyadh,   حي النموذجية ,North Westي,900,4,5,5,5,1,1,1,1,0,0,1,1,1,0,0,0,0,300000,15,1
 Riyadh,   حي المونسية ,South,360,2,4,3,1,1,1,1,0,0,0,1,0,1,0,0,0,0,55000,8,0
 Riyadh,   حي الربوة ,East,330,10,5,5,2,1,0,1,1,0,1,0,0,1,0,0,0,0,79000,12,1
 Riyadh,   حي القيروان ,West,500,0,5,4,2,1,1,0,1,0,0,0,0,1,0,0,0,0,35000,11,0
 Riyadh,   حي عليشة ,North,325,12,5,4,2,1,0,0,1,0,1,0,0,0,0,0,0,0,50000,11,0
 Riyadh,   حي الرمال ,East,310,0,7,4,1,1,1,0,0,0,0,1,0,1,0,1,0,1,56000,12,0
 Riyadh,   حي السليمانية ,East,220,9,4,4,3,1,1,0,1,0,1,0,0,1,0,1,0,0,90000,11,0
 Riyadh,   حي الملك فيصل ,East,250,15,7,5,2,1,0,0,1,0,1,0,0,1,0,1,0,0,40000,14,0
 Riyadh,   حي الملقا ,West,200,3,5,5,5,1,1,1,1,0,0,1,1,1,0,0,0,0,85000,15,1
 Riyadh,   حي الرمال ,West,298,0,3,4,2,1,0,0,1,0,0,0,0,1,0,0,0,1,45000,9,0
 Riyadh,   حي الرمال ,South,300,0,6,5,1,0,1,0,1,0,0,1,0,1,0,0,0,0,40000,12,0
 Riyadh,   حي النرجس ,West,250,0,4,5,2,1,1,1,1,0,1,1,0,1,0,0,0,0,90000,11,1
 Riyadh,   حي العقيق ,South,300,6,4,5,3,1,1,1,1,0,1,0,0,1,1,1,0,0,120000,12,1
 Riyadh,   حي الورود ,North Westي,580,20,7,5,1,1,1,1,1,0,1,0,0,1,0,0,0,0,150000,13,1
 Riyadh,   حي النرجس ,West,230,0,3,5,2,1,1,1,1,0,1,0,0,1,0,0,0,0,90000,10,1
 Riyadh,   حي حطين ,North,460,0,5,5,3,1,1,1,1,1,1,1,1,1,0,0,0,0,400000,13,1
 Riyadh,   حي الملقا ,West,228,0,4,5,2,1,1,1,1,0,1,0,0,1,0,1,0,0,150000,11,1
 Riyadh,   حي العارض ,North,200,4,5,5,2,1,1,1,1,1,1,1,0,1,0,1,0,1,110000,12,1
 Riyadh,   حي الياسمين ,North Westي,350,4,5,5,2,1,1,1,1,0,1,0,0,1,0,0,0,1,125000,12,1
 Riyadh,   حي السليمانية ,South Eastي,300,7,4,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,125000,8,1
 Riyadh,   حي المناخ ,North,600,5,7,5,5,1,0,0,0,0,0,0,0,1,0,0,0,0,140000,17,0
 Riyadh,   حي الحزم ,West,298,0,5,5,3,1,1,0,1,0,0,1,0,1,0,1,0,0,50000,13,0
 Riyadh,   حي الرمال ,North,300,0,4,5,1,1,1,1,1,0,0,0,0,1,0,0,0,0,45000,10,1
 Riyadh,   حي العارض ,South,300,0,4,5,2,1,1,1,1,0,1,0,0,1,0,0,0,0,85000,11,1
 Riyadh,   حي البديعة ,North,1600,35,5,5,5,1,1,1,1,0,0,1,0,1,0,0,0,0,70000,15,1
 Riyadh,   حي النرجس ,West,250,0,4,5,2,1,1,1,1,0,1,1,0,1,0,0,0,0,90000,11,1
 Riyadh,   حي العارض ,West,375,3,5,5,2,1,1,1,1,1,1,1,0,1,0,0,0,1,110000,12,1
 Riyadh,   حي الشهداء ,West,300,15,7,5,2,0,1,1,1,0,0,0,0,1,0,1,0,0,50000,14,1
 Riyadh,   حي الروضة ,East,3000,19,3,5,5,1,1,1,1,1,1,0,1,1,1,0,0,0,250000,13,1
 Riyadh,   حي قرطبة ,West,312,10,4,5,2,1,0,1,1,0,1,0,0,1,0,0,0,1,85000,11,1
 Riyadh,   حي الصحافة ,East,350,2,5,5,2,1,0,1,1,0,1,0,0,1,1,0,0,1,90000,12,1
 Riyadh,   حي العريجاء الغربية ,3 شوارع,1600,4,5,5,3,1,1,1,1,0,0,1,0,1,0,0,0,0,250000,13,1
 Riyadh,   حي العارض ,South,300,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,85000,11,0
 Riyadh,   حي المونسية ,West,253,5,4,5,1,1,1,0,1,0,1,1,0,1,0,0,0,0,50000,10,0
 Riyadh,   حي النفل ,East,500,0,7,5,2,1,1,1,1,0,1,0,0,1,0,0,0,0,160000,14,1
 Riyadh,   حي القدس ,South,1000,25,5,5,3,1,1,1,1,0,1,1,1,1,1,0,0,1,160000,13,1
 Riyadh,   حي الروضة ,East,300,0,4,4,2,1,1,0,1,0,1,0,0,1,0,0,0,0,85000,10,0
 Riyadh,   حي الروضة ,South,352,30,7,5,2,1,1,0,1,0,1,1,0,1,0,0,0,1,80000,14,0
 Riyadh,   حي المونسية ,West,225,0,4,3,2,1,1,0,1,0,1,0,0,1,0,0,0,0,100000,9,0
 Riyadh,   حي السليمانية ,North,200,8,4,5,2,1,1,1,1,0,0,0,0,0,0,1,0,0,90000,11,1
 Riyadh,   حي السليمانية ,South,220,8,4,4,3,1,1,0,1,0,1,0,0,1,0,0,0,0,90000,11,0
 Riyadh,   حي العارض ,South,300,0,4,5,2,1,1,1,1,0,1,0,0,0,0,0,0,0,85000,11,1
 Riyadh,   حي الرمال ,North Westي,280,0,5,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,42000,12,0
 Riyadh,   حي الملك فهد ,West,270,30,3,5,3,1,1,1,1,0,1,0,0,1,0,1,0,0,70000,11,1
 Riyadh,   حي العزيزية ,South,312,4,5,5,2,1,1,0,1,1,1,0,0,1,0,0,1,0,90000,12,0
 Riyadh,   حي حطين ,North,400,0,4,5,3,1,1,1,1,1,1,0,1,1,0,0,0,0,400000,12,1
 Riyadh,   حي الواحة ,West,375,11,4,5,3,1,1,1,1,0,1,0,0,1,0,0,0,0,95000,12,1
 Riyadh,   حي النرجس ,North,300,0,5,5,3,1,1,1,1,0,0,1,0,1,0,0,1,1,120000,13,1
 Riyadh,   حي ظهرة لبن ,West,450,3,7,5,2,0,1,0,0,0,0,0,0,1,0,0,0,1,60000,14,0
 Riyadh,   حي النسيم الشرقي ,North,200,7,3,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,31000,10,0
 Riyadh,   حي القادسية ,North,384,0,5,5,2,1,1,1,1,0,0,1,0,0,0,0,0,1,80000,12,1
 Riyadh,   حي القادسية ,East,250,0,5,5,1,1,1,0,0,0,0,1,0,1,0,0,0,0,55000,11,0
 Riyadh,   حي الروضة ,North,686,25,5,5,3,1,1,1,1,0,1,1,1,1,1,0,0,1,150000,13,1
 Riyadh,   حي المصيف ,North,425,33,4,3,2,1,1,0,1,0,0,1,0,1,0,0,0,0,80000,9,0
 Riyadh,   حي طويق ,South Eastي,300,0,4,5,3,1,0,0,1,0,0,0,0,1,0,0,0,0,37000,12,0
 Riyadh,   حي العارض ,South,360,0,5,5,2,1,1,1,1,0,1,0,0,0,0,0,0,0,110000,12,1
 Riyadh,   حي المونسية ,South,312,0,3,4,2,1,1,0,1,0,0,1,0,1,0,0,1,0,65000,9,0
 Riyadh,   حي قرطبة ,North,390,5,7,5,4,1,1,1,1,0,1,0,0,1,0,0,0,0,130000,16,1
 Riyadh,   حي الرمال ,South,280,3,4,3,1,0,1,0,1,0,0,0,0,1,0,0,0,1,3300,8,0
 Riyadh,   حي الملقا ,South,200,2,6,5,2,1,1,0,1,0,1,0,0,1,0,1,0,0,90000,13,0
 Riyadh,   حي النرجس ,West,230,0,5,5,2,1,1,1,1,0,1,0,0,1,0,1,0,0,85000,12,1
 Riyadh,   حي الفيحاء ,4 شوارع,360,0,4,3,2,1,1,0,0,1,1,0,1,1,0,0,0,0,75000,9,0
 Riyadh,   حي المونسية ,North,312,2,3,5,2,1,1,0,1,1,1,1,0,1,0,0,0,0,145000,10,0
 Riyadh,   حي الرمال ,West,460,4,5,5,1,1,1,1,0,0,1,1,0,1,0,0,0,1,75000,11,0
 Riyadh,   حي الرحمانية ,East,300,2,3,5,2,1,1,1,1,0,1,0,1,1,0,0,0,0,220000,10,1
 Riyadh,   حي المهدية ,South,250,0,5,5,2,0,1,0,1,0,0,0,0,1,0,1,0,0,50000,12,0
 Riyadh,   حي الرمال ,North Westي,350,0,5,5,1,1,1,0,1,0,1,1,0,1,0,0,0,0,55000,11,0
 Riyadh,   حي الرمال ,North,450,0,5,5,1,1,1,1,1,0,1,1,0,0,0,0,0,1,60000,11,1
 Riyadh,   حي الزهرة ,South Westي,500,14,4,5,1,1,1,1,1,0,1,1,0,0,0,0,0,0,45000,10,1
 Riyadh,   حي النرجس ,West,260,0,3,3,1,1,1,1,1,0,1,0,0,1,0,0,0,0,100000,7,1
 Riyadh,   حي الشهداء ,South,205,0,5,5,2,0,1,0,1,0,1,0,0,1,0,1,1,0,140000,12,0
 Riyadh,   حي العارض ,West,250,2,4,5,2,1,0,0,1,0,1,0,0,1,0,1,0,0,85000,11,0
 Riyadh,   حي الرمال ,West,460,4,1,5,1,1,1,1,1,0,1,1,0,1,0,0,0,1,75000,7,1
 Riyadh,   حي الملقا ,South,200,3,7,5,2,1,1,0,1,0,1,0,0,1,0,1,0,0,90000,14,0
 Riyadh,   حي حطين ,North,155,0,3,5,2,1,0,0,1,0,1,0,0,0,0,0,0,0,180000,10,0
 Riyadh,   حي الرمال ,East,400,0,5,5,1,1,0,0,1,1,0,0,0,0,0,0,0,1,60000,11,0
 Riyadh,   حي اليرموك ,North,300,10,4,3,2,1,1,1,1,0,0,0,0,1,0,0,0,0,65000,9,1
 Riyadh,   حي الملقا ,South,375,4,5,5,3,1,1,1,1,0,1,1,0,1,0,0,0,0,120000,13,1
 Riyadh,   حي العارض ,West,300,2,5,5,1,1,1,0,1,0,1,0,0,1,0,1,0,0,85000,11,0
 Riyadh,   حي الرمال ,North,300,0,4,5,1,1,1,0,0,0,0,1,0,1,0,1,0,0,38000,10,0
 Riyadh,   حي عليشة ,South Westي,340,0,3,3,1,1,1,1,1,0,0,0,0,1,0,0,0,0,55000,7,1
 Riyadh,   حي العارض ,West,250,2,7,4,2,1,1,1,1,1,0,0,0,1,0,0,0,0,110000,13,1
 Riyadh,   حي العقيق ,South,300,15,5,4,3,1,0,1,1,0,1,0,0,0,0,0,0,0,120000,12,1
 Riyadh,   حي الرحمانية ,North Westي,450,13,7,5,2,1,1,1,1,1,1,0,0,1,0,0,0,0,120000,14,1
 Riyadh,   حي المصيف ,East,500,10,5,5,5,1,1,1,1,0,1,1,0,1,1,0,1,0,150000,15,1
 Riyadh,   حي المونسية ,East,290,0,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,1,60000,11,0
 Riyadh,   حي المصيف ,South,400,15,3,3,1,1,1,0,1,0,1,1,0,1,0,0,0,1,80000,7,0
